statistic,scaling,kind,reject_rate_k1,commit,timestamp
diy_retired,raw,hard,0.4375,bd37b2c,2026-08-08T13:59:52
diy_retired,raw,shift,0.025,bd37b2c,2026-08-08T13:59:52
diy_retired,raw,soft,0.225,bd37b2c,2026-08-08T13:59:52
diy_retired,standardised,hard,0.425,bd37b2c,2026-08-08T13:59:52
diy_retired,standardised,shift,0.025,bd37b2c,2026-08-08T13:59:52
diy_retired,standardised,soft,0.25,bd37b2c,2026-08-08T13:59:52
cfa_kappa,raw,hard,0.1125,4bd658a,2026-08-09T16:29:04
cfa_kappa,raw,shift,0.0,4bd658a,2026-08-09T16:29:04
cfa_kappa,raw,soft,0.0125,4bd658a,2026-08-09T16:29:04
cfa_kappa,standardised,hard,0.1125,4bd658a,2026-08-09T16:29:04
cfa_kappa,standardised,shift,0.0,4bd658a,2026-08-09T16:29:04
cfa_kappa,standardised,soft,0.0375,4bd658a,2026-08-09T16:29:04
cft,raw,hard,0.225,1215e56,2026-08-10T09:43:05
cft,raw,shift,0.025,1215e56,2026-08-10T09:43:05
cft,raw,soft,0.225,1215e56,2026-08-10T09:43:05
cft,standardised,hard,0.125,1215e56,2026-08-10T09:43:05
cft,standardised,shift,0.0375,1215e56,2026-08-10T09:43:05
cft,standardised,soft,0.2,1215e56,2026-08-10T09:43:05
lfc,raw,hard,0.0875,117a464,2026-08-10T11:04:39
lfc,raw,shift,0.0,117a464,2026-08-10T11:04:39
lfc,raw,soft,0.0,117a464,2026-08-10T11:04:39
lfc,standardised,hard,0.075,117a464,2026-08-10T11:04:39
lfc,standardised,shift,0.0,117a464,2026-08-10T11:04:39
lfc,standardised,soft,0.0,117a464,2026-08-10T11:04:39
